"","copy_TWI_1","ID","twi30agg","tpi30agg","accum30","vv30agg","vvsd30agg","npol30agg","NDVI_med","NDWI_med","nppmmid30agg","deficitRS","cad30RS","decid30RS","Blue_med","Green_med","Red_med","NIR_med","cpg30precip","nhdStrOrdRast","utm1","utm2","lon","lat"
"1",0,1,7.75915908813477,-1.03502058982849,11501.6357421875,-9.26772212982178,2.29987287521362,0.230885878205299,0.686420083045959,-0.636003851890564,2280.17358398438,293,-6.54514837265015,0.258152455091476,304.646118164062,503.579284667969,443.02587890625,2333.67578125,84420,1,203945.385399999,515867.976399999,-114.864401511258,48.5197197653194
"2",0,2,6.65468740463257,-2.059326171875,9365.0751953125,-9.27606582641602,1.74523711204529,0.230970799922943,0.6621053814888,-0.627577543258667,2346.71069335938,288,-6.47014999389648,0.205070659518242,319.105499267578,583.73486328125,545.561645507812,2596.15087890625,84423,1,204019.468900001,515876.443,-114.863409049108,48.5198413218598
"3",0,3,8.37663841247559,-1.24435758590698,8555.24609375,-9.2511739730835,1.82540285587311,0.233246043324471,0.673249185085297,-0.628672301769257,2308.88110351562,292,-5.66494035720825,0.271937519311905,312.5654296875,549.52001953125,437.312072753906,2473.8828125,84340,1,204127.4191,515893.376499999,-114.861967136055,48.5200596786922
"4",0,4,9.26950454711914,-1.08047151565552,6387.3671875,-9.85871887207031,2.19932508468628,0.227327436208725,0.685769140720367,-0.636079668998718,2320.056640625,292,-5.24875211715698,0.2439194470644,291.304229736328,521.554565429688,442.83251953125,2408.29248046875,84298,1,204207.852600001,515918.7765,-114.860904589012,48.5203370725835
"5",0,5,8.95439052581787,-0.931884765625,5916.07861328125,-9.1260404586792,2.09602117538452,0.245423406362534,0.62030303478241,-0.596660196781158,3319.685546875,283,-4.56831693649292,0.238382324576378,298.861572265625,511.306274414062,435.323699951172,2125.15478515625,84050,1,204281.936100001,515967.459899999,-114.859949311967,48.520819488321
"6",0,6,9.77556705474854,-1.22359216213226,891.127136230469,-9.41744709014893,2.99210262298584,0.254052400588989,0.676032364368439,-0.619229555130005,4673.9853515625,281,-4.39261817932129,0.118138454854488,186.225433349609,387.502380371094,317.492492675781,1629.640625,84337,NA,204372.9529,515980.1599,-114.858732088732,48.5209894048984
"7",0,7,9.09930229187012,-0.6041259765625,613.196228027344,-8.64097690582275,1.93888819217682,0.279705405235291,0.673091769218445,-0.611239790916443,4834.72021484375,281,-4.27801132202148,0.133483171463013,179.908813476562,366.363647460938,307.497894287109,1501.93078613281,84095,NA,204506.303200001,515978.043199999,-114.856929538179,48.5210523637735
"8",0,8,7.81385803222656,-0.753648519515991,1768.93969726562,-8.44651508331299,1.88301742076874,0.286537438631058,0.683450877666473,-0.615762591362,4941.57763671875,268,-4.20263814926147,0.142959624528885,178.326400756836,366.332824707031,302.175750732422,1507.85864257812,83966,1,204599.436799999,515969.5765,-114.855664150685,48.5210336078151
"9",0,9,7.32426166534424,-0.643825948238373,426.794525146484,-8.06105136871338,1.58980464935303,0.277607023715973,0.717122614383698,-0.633652091026306,5082.57958984375,214,-5.29096078872681,0.354524731636047,171.7265625,319.165954589844,221.541610717773,1511.88586425781,72504,NA,208216.615700001,515681.0743,-114.806555921231,48.5206565906044
"10",0,10,7.23330307006836,-0.824123799800873,502.144226074219,-6.12514305114746,2.55496692657471,0.370067864656448,0.727562308311462,-0.654318451881409,5225.90478515625,236,-5.44170093536377,0.190701261162758,179.676467895508,325.197601318359,308.088836669922,1770.5361328125,74109,NA,208007.065199999,515754.0995,-114.809452445648,48.5211843297052
